id,inv_id,am_fecha_pago,am_interes,am_capital,am_descuento,am_int_parcial,am_total,am_retencion,am_pagada,is_active,is_deleted
12324,664,2026-08-02,264.34,66.08,0.00,264.34,0.00,0.00,0,1,0
12325,664,2026-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12326,664,2026-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12327,664,2026-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12328,664,2026-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12329,664,2027-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12330,664,2027-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12331,664,2027-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12332,664,2027-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12333,664,2027-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12334,664,2027-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,1,0
12335,664,2027-07-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12336,664,2027-08-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12337,664,2027-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12338,664,2027-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12339,664,2027-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12340,664,2027-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12341,664,2028-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12342,664,2028-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12343,664,2028-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12344,664,2028-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12345,664,2028-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12346,664,2028-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12347,664,2028-07-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12348,664,2028-08-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12349,664,2028-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12350,664,2028-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12351,664,2028-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12352,664,2028-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12353,664,2029-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12354,664,2029-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12355,664,2029-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12356,664,2029-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12357,664,2029-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12358,664,2029-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12359,664,2029-07-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12360,664,2029-08-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12361,664,2029-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12362,664,2029-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12363,664,2029-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12364,664,2029-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12365,664,2030-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12366,664,2030-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12367,664,2030-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12368,664,2030-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12369,664,2030-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12370,664,2030-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12371,664,2030-07-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12372,664,2030-08-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12373,664,2030-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12374,664,2030-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12375,664,2030-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12376,664,2030-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12377,664,2031-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12378,664,2031-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12379,664,2031-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12380,664,2031-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12381,664,2031-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12382,664,2031-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12383,664,2031-07-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12384,664,2031-08-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12385,664,2031-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12386,664,2031-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12387,664,2031-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12388,664,2031-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12389,664,2032-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12390,664,2032-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12391,664,2032-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12392,664,2032-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12393,664,2032-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12394,664,2032-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12395,664,2032-07-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12396,664,2032-08-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12397,664,2032-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12398,664,2032-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12399,664,2032-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12400,664,2032-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12401,664,2033-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12402,664,2033-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12403,664,2033-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12404,664,2033-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12405,664,2033-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12406,664,2033-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12407,664,2033-07-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12408,664,2033-08-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12409,664,2033-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12410,664,2033-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12411,664,2033-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12412,664,2033-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12413,664,2034-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12414,664,2034-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12415,664,2034-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12416,664,2034-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12417,664,2034-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12418,664,2034-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12419,664,2034-07-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12420,664,2034-08-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12421,664,2034-09-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12422,664,2034-10-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12423,664,2034-11-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12424,664,2034-12-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12425,664,2035-01-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12426,664,2035-02-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12427,664,2035-03-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12428,664,2035-04-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12429,664,2035-05-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12430,664,2035-06-02,330.42,0.00,0.00,330.42,0.00,0.00,0,0,0
12431,664,2035-07-02,5853.92,44476.50,5523.50,330.42,0.00,0.00,0,0,0
